unique_protein_id_A,symbol_id_A,species_A,unique_protein_id_B,symbol_id_B,species_B,cell_line,hour,study,interaction_type
P17844,DDX5,homo sapien,O60506,SYNCRIP,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9Y2X3,NOP58,homo sapien,P62888,RPL30,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q92841,DDX17,homo sapien,Q15459,SF3A1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O60506,SYNCRIP,homo sapien,Q9UKM9,RALY,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P52272,HNRNPM,homo sapien,P15880,RPS2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14978,NOLC1,homo sapien,Q02878,RPL6,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P52272,HNRNPM,homo sapien,P62263,RPS14,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9UKV3,ACIN1,homo sapien,Q08211,DHX9,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O43390,HNRNPR,homo sapien,Q9UKM9,RALY,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9UKM9,RALY,homo sapien,Q96DI7,SNRNP40,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O43390,HNRNPR,homo sapien,Q12906,ILF3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P52272,HNRNPM,homo sapien,P62829,RPL23,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14978,NOLC1,homo sapien,Q9Y2X3,NOP58,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O14979,HNRNPDL,homo sapien,P52272,HNRNPM,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9UKV3,ACIN1,homo sapien,Q92841,DDX17,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q12906,ILF3,homo sapien,P62263,RPS14,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q00839,HNRNPU,homo sapien,Q9Y2X3,NOP58,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P17844,DDX5,homo sapien,O00425,IGF2BP3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q00839,HNRNPU,homo sapien,P62263,RPS14,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O00571,DDX3X,homo sapien,O14979,HNRNPDL,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q02878,RPL6,homo sapien,P26368,U2AF2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O14979,HNRNPDL,homo sapien,Q9BUJ2,HNRNPUL1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9UKV3,ACIN1,homo sapien,Q15459,SF3A1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15459,SF3A1,homo sapien,P42285,MTREX,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14011,CIRBP,homo sapien,Q15637,SF1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P52272,HNRNPM,homo sapien,P62888,RPL30,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P07910,HNRNPC,homo sapien,Q9UKM9,RALY,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P52272,HNRNPM,homo sapien,P35268,RPL22,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q08211,DHX9,homo sapien,P62263,RPS14,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q00839,HNRNPU,homo sapien,P62888,RPL30,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O00571,DDX3X,homo sapien,P26368,U2AF2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14978,NOLC1,homo sapien,P62701,RPS4X,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O14979,HNRNPDL,homo sapien,Q01130,SRSF2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P33991,MCM4,homo sapien,Q15459,SF3A1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q12906,ILF3,homo sapien,P84103,SRSF3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P52272,HNRNPM,homo sapien,Q9UHX1,PUF60,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P56537,EIF6,homo sapien,P62829,RPL23,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9HCE1,MOV10,homo sapien,P46783,RPS10,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9UKM9,RALY,homo sapien,Q14498,RBM39,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P62136,PPP1CA,homo sapien,Q16629,SRSF7,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O14979,HNRNPDL,homo sapien,P22626,HNRNPA2B1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P52272,HNRNPM,homo sapien,P62854,RPS26,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O00571,DDX3X,homo sapien,O43390,HNRNPR,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15459,SF3A1,homo sapien,P23246,SFPQ,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O14979,HNRNPDL,homo sapien,P26368,U2AF2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O14979,HNRNPDL,homo sapien,P84103,SRSF3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P56537,EIF6,homo sapien,P62701,RPS4X,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P52272,HNRNPM,homo sapien,P62701,RPS4X,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O14979,HNRNPDL,homo sapien,P26599,PTBP1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O14979,HNRNPDL,homo sapien,O43390,HNRNPR,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q92499,DDX1,homo sapien,P62136,PPP1CA,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O14979,HNRNPDL,homo sapien,P52597,HNRNPF,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P78527,PRKDC,homo sapien,P67809,YBX1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61978,HNRNPK,homo sapien,Q13148,TARDBP,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q08211,DHX9,homo sapien,P56537,EIF6,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O60506,SYNCRIP,homo sapien,P62136,PPP1CA,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q00839,HNRNPU,homo sapien,Q14498,RBM39,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q12906,ILF3,homo sapien,P62995,TRA2B,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q12906,ILF3,homo sapien,P62851,RPS25,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q08211,DHX9,homo sapien,Q9UKM9,RALY,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P78527,PRKDC,homo sapien,P62995,TRA2B,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O14979,HNRNPDL,homo sapien,Q13242,SRSF9,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O60506,SYNCRIP,homo sapien,P26368,U2AF2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P52272,HNRNPM,homo sapien,P62851,RPS25,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P78527,PRKDC,homo sapien,P26368,U2AF2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q12906,ILF3,homo sapien,Q14498,RBM39,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O14979,HNRNPDL,homo sapien,Q07955,SRSF1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q00839,HNRNPU,homo sapien,P56537,EIF6,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P78527,PRKDC,homo sapien,P49756,RBM25,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P09651,HNRNPA1,homo sapien,P23396,RPS3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q92499,DDX1,homo sapien,P09651,HNRNPA1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q13148,TARDBP,homo sapien,P26368,U2AF2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q12906,ILF3,homo sapien,P23246,SFPQ,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O00571,DDX3X,homo sapien,O60506,SYNCRIP,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O43818,RRP9,homo sapien,Q8NI36,WDR36,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O14979,HNRNPDL,homo sapien,P31942,HNRNPH3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q00839,HNRNPU,homo sapien,Q9Y2W1,THRAP3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P63244,RACK1,homo sapien,P26373,RPL13,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P49756,RBM25,homo sapien,Q13595,TRA2A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O60506,SYNCRIP,homo sapien,Q15056,EIF4H,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P31943,HNRNPH1,homo sapien,P31942,HNRNPH3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O43390,HNRNPR,homo sapien,Q07666,KHDRBS1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O60506,SYNCRIP,homo sapien,Q9NZI8,IGF2BP1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P11586,MTHFD1,homo sapien,Q9NSE4,IARS2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P62987,UBA52,homo sapien,P45880,VDAC2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P07910,HNRNPC,homo sapien,Q07666,KHDRBS1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P62987,UBA52,homo sapien,Q93008,USP9X,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P31942,HNRNPH3,homo sapien,P22626,HNRNPA2B1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q99613,EIF3C,homo sapien,P19338,NCL,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q12906,ILF3,homo sapien,Q5BKZ1,ZNF326,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P63244,RACK1,homo sapien,P46776,RPL27A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P31942,HNRNPH3,homo sapien,P09651,HNRNPA1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P63244,RACK1,homo sapien,P61313,RPL15,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q7L2E3,DHX30,homo sapien,Q12906,ILF3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P62987,UBA52,homo sapien,Q9Y277,VDAC3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P14866,HNRNPL,homo sapien,P23246,SFPQ,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P22626,HNRNPA2B1,homo sapien,P62987,UBA52,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O00232,PSMD12,homo sapien,Q00341,HDLBP,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P31942,HNRNPH3,homo sapien,O43390,HNRNPR,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P51003,PAPOLA,homo sapien,P62140,PPP1CB,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P31942,HNRNPH3,homo sapien,Q07955,SRSF1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P45880,VDAC2,homo sapien,Q9Y277,VDAC3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9UKM9,RALY,homo sapien,Q13151,HNRNPA0,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23246,SFPQ,homo sapien,Q9NWH9,SLTM,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P31949,S100A11,homo sapien,Q00341,HDLBP,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q12906,ILF3,homo sapien,Q8N766,EMC1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15019,SEPTIN2,homo sapien,Q13595,TRA2A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14152,EIF3A,homo sapien,P19338,NCL,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9UBS4,DNAJB11,homo sapien,Q13011,ECH1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q92900,UPF1,homo sapien,Q00341,HDLBP,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15434,RBMS2,homo sapien,P62995,TRA2B,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q3ZCQ8,TIMM50,homo sapien,O94826,TOMM70,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23396,RPS3,homo sapien,Q7KZF4,SND1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P38159,RBMX,homo sapien,Q15424,SAFB,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O14979,HNRNPDL,homo sapien,P14866,HNRNPL,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15459,SF3A1,homo sapien,Q13595,TRA2A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P82979,SARNP,homo sapien,Q9Y277,VDAC3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P52272,HNRNPM,homo sapien,Q7KZF4,SND1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q13523,PRPF4B,homo sapien,Q9Y5B9,SUPT16H,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q99460,PSMD1,homo sapien,Q15459,SF3A1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P04179,SOD2,homo sapien,Q9P0L0,VAPA,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P31942,HNRNPH3,homo sapien,P52597,HNRNPF,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q96T88,UHRF1,homo sapien,O75312,ZPR1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q93009,USP7,homo sapien,P47985,UQCRFS1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9P2N5,RBM27,homo sapien,Q9Y277,VDAC3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O43175,PHGDH,homo sapien,Q13595,TRA2A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O14979,HNRNPDL,homo sapien,P55795,HNRNPH2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q99613,EIF3C,homo sapien,P33527,ABCC1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O75396,SEC22B,homo sapien,P49755,TMED10,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P43243,MATR3,homo sapien,Q9NSE4,IARS2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P39656,DDOST,homo sapien,P45880,VDAC2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9Y276,BCS1L,homo sapien,P47985,UQCRFS1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23588,EIF4B,homo sapien,P78344,EIF4G2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15019,SEPTIN2,homo sapien,P26368,U2AF2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P31943,HNRNPH1,homo sapien,P51148,RAB5C,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15019,SEPTIN2,homo sapien,Q16629,SRSF7,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P05198,EIF2S1,homo sapien,Q9HCD5,NCOA5,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q92973,TNPO1,homo sapien,Q9Y5L0,TNPO3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O75396,SEC22B,homo sapien,Q13586,STIM1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q08211,DHX9,homo sapien,Q14764,MVP,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O60506,SYNCRIP,homo sapien,Q15434,RBMS2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15056,EIF4H,homo sapien,P62995,TRA2B,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q12906,ILF3,homo sapien,P04844,RPN2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P33527,ABCC1,homo sapien,Q9UHX1,PUF60,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9UKV3,ACIN1,homo sapien,Q15019,SEPTIN2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15056,EIF4H,homo sapien,Q13151,HNRNPA0,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O60506,SYNCRIP,homo sapien,Q8TCJ2,STT3B,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P82979,SARNP,homo sapien,Q9Y3A5,SBDS,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O14979,HNRNPDL,homo sapien,Q9Y3U8,RPL36,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q12906,ILF3,homo sapien,P62834,RAP1A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15637,SF1,homo sapien,O96008,TOMM40,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15019,SEPTIN2,homo sapien,P62995,TRA2B,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q12906,ILF3,homo sapien,Q9NSE4,IARS2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14152,EIF3A,homo sapien,Q99733,NAP1L4,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23246,SFPQ,homo sapien,Q9Y2W1,THRAP3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q13151,HNRNPA0,homo sapien,P23396,RPS3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15459,SF3A1,homo sapien,Q5BKZ1,ZNF326,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9Y3C8,UFC1,homo sapien,O75312,ZPR1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P07910,HNRNPC,homo sapien,Q13595,TRA2A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O14979,HNRNPDL,homo sapien,Q15056,EIF4H,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O14979,HNRNPDL,homo sapien,Q8ND56,LSM14A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P84103,SRSF3,homo sapien,P47985,UQCRFS1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P60228,EIF3E,homo sapien,Q99733,NAP1L4,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q12906,ILF3,homo sapien,Q9P2E9,RRBP1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q08211,DHX9,homo sapien,P50402,EMD,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15424,SAFB,homo sapien,Q16629,SRSF7,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15019,SEPTIN2,homo sapien,Q5BKZ1,ZNF326,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P52272,HNRNPM,homo sapien,Q9Y5B9,SUPT16H,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P33527,ABCC1,homo sapien,Q9NRX2,MRPL17,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P52272,HNRNPM,homo sapien,Q9P2E9,RRBP1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O43175,PHGDH,homo sapien,Q9Y2W1,THRAP3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q16629,SRSF7,homo sapien,Q8TCJ2,STT3B,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q99460,PSMD1,homo sapien,P27708,CAD,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15056,EIF4H,homo sapien,P84103,SRSF3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P60900,PSMA6,homo sapien,Q15459,SF3A1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P06733,ENO1,homo sapien,Q14315,FLNC,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P45880,VDAC2,homo sapien,Q96KR1,ZFR,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q00839,HNRNPU,homo sapien,Q13595,TRA2A,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15436,SEC23A,homo sapien,Q93008,USP9X,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15637,SF1,homo sapien,Q9Y277,VDAC3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q12906,ILF3,homo sapien,P82664,MRPS10,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P11586,MTHFD1,homo sapien,Q96CS3,FAF2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P52272,HNRNPM,homo sapien,Q5BKZ1,ZNF326,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P22626,HNRNPA2B1,homo sapien,Q99729,HNRNPAB,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14103,HNRNPD,homo sapien,Q9UKM9,RALY,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15637,SF1,homo sapien,Q13586,STIM1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O75396,SEC22B,homo sapien,Q9P2R7,SUCLA2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q99733,NAP1L4,homo sapien,P19338,NCL,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q12906,ILF3,homo sapien,O95758,PTBP3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O43818,RRP9,homo sapien,P08670,VIM,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P51991,HNRNPA3,homo sapien,P62277,RPS13,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O60506,SYNCRIP,homo sapien,Q3ZCQ8,TIMM50,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q08211,DHX9,homo sapien,Q9Y2W1,THRAP3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14152,EIF3A,homo sapien,P52597,HNRNPF,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O14979,HNRNPDL,homo sapien,Q14103,HNRNPD,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q5SSJ5,HP1BP3,homo sapien,Q5BKZ1,ZNF326,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P11586,MTHFD1,homo sapien,Q9H9B4,SFXN1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q96CS3,FAF2,homo sapien,P62995,TRA2B,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O60506,SYNCRIP,homo sapien,Q13151,HNRNPA0,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P78344,EIF4G2,homo sapien,Q15056,EIF4H,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23921,RRM1,homo sapien,Q9P2R7,SUCLA2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9HCE1,MOV10,homo sapien,P82664,MRPS10,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q00839,HNRNPU,homo sapien,Q9Y6C9,MTCH2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15365,PCBP1,homo sapien,Q13148,TARDBP,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15717,ELAVL1,homo sapien,P45880,VDAC2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q01844,EWSR1,homo sapien,Q9H9B4,SFXN1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9UBX3,SLC25A10,homo sapien,Q5BKZ1,ZNF326,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q13045,FLII,homo sapien,P47813,EIF1AX,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9H9B4,SFXN1,homo sapien,O94826,TOMM70,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q00577,PURA,homo sapien,Q14966,ZNF638,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
